ds,y
01/02/2016,922
01/03/2016,968
01/04/2016,3249
01/05/2016,3234
01/06/2016,3187
01/07/2016,2702
01/08/2016,2687
01/09/2016,1187
01/10/2016,968
01/11/2016,3171
01/12/2016,3109
1/13/2016,3358
1/14/2016,3046
1/15/2016,2905
1/16/2016,1203
1/17/2016,1015
1/18/2016,3593
1/19/2016,3421
1/20/2016,3390
1/21/2016,3421
1/22/2016,2874
1/23/2016,1328
1/24/2016,968
1/25/2016,3483
1/26/2016,3296
1/27/2016,3390
1/28/2016,3546
1/29/2016,3218
1/30/2016,1437
1/31/2016,1047
02/01/2016,3124
02/02/2016,3437
02/03/2016,3280
02/04/2016,3109
02/05/2016,3015
02/06/2016,1375
02/07/2016,1343
02/08/2016,3687
02/09/2016,3390
02/10/2016,3390
02/11/2016,3343
02/12/2016,3234
2/13/2016,1453
2/14/2016,1047
2/15/2016,3468
2/16/2016,3265
2/17/2016,3202
2/18/2016,3155
2/19/2016,3093
2/20/2016,1328
2/21/2016,984
2/22/2016,3655
2/23/2016,3140
2/24/2016,3234
2/25/2016,3124
2/26/2016,2781
2/27/2016,1109
2/28/2016,1172
2/29/2016,3515
03/01/2016,3780
03/02/2016,3608
03/03/2016,3077
03/04/2016,3155
03/05/2016,1453
03/06/2016,1125
03/07/2016,3280
03/08/2016,3577
03/09/2016,3468
03/10/2016,3265
03/11/2016,2593
03/12/2016,1281
3/13/2016,1125
3/14/2016,3312
3/15/2016,3437
3/16/2016,3562
3/17/2016,3280
3/18/2016,2702
3/19/2016,1562
3/20/2016,1218
3/21/2016,3312
3/22/2016,3046
3/23/2016,4311
3/24/2016,3140
3/25/2016,1359
3/26/2016,1421
3/27/2016,1031
3/28/2016,1562
3/29/2016,3843
3/30/2016,3624
3/31/2016,3343
04/01/2016,3249
04/02/2016,1484
04/03/2016,1328
04/04/2016,3640
04/05/2016,3671
04/06/2016,3749
04/07/2016,3452
04/08/2016,3030
04/09/2016,1828
04/10/2016,1531
04/11/2016,3733
04/12/2016,3515
4/13/2016,3483
4/14/2016,3437
4/15/2016,2874
4/16/2016,1531
4/17/2016,1234
4/18/2016,3671
4/19/2016,3296
4/20/2016,3093
4/21/2016,2921
4/22/2016,2968
4/23/2016,1359
4/24/2016,1328
4/25/2016,3530
4/26/2016,2812
4/27/2016,2921
4/28/2016,2984
4/29/2016,2640
4/30/2016,1078
05/01/2016,812
05/02/2016,1453
05/03/2016,3062
05/04/2016,3030
05/05/2016,2859
05/06/2016,2577
05/07/2016,1156
05/08/2016,937
05/09/2016,3015
05/10/2016,3327
05/11/2016,2937
05/12/2016,2718
5/13/2016,2390
5/14/2016,1187
5/15/2016,1000
5/16/2016,2968
5/17/2016,2749
5/18/2016,2952
5/19/2016,3109
5/20/2016,2406
5/21/2016,1109
5/22/2016,968
5/23/2016,3046
5/24/2016,2624
5/25/2016,2671
5/26/2016,2437
5/27/2016,2577
5/28/2016,1078
5/29/2016,750
5/30/2016,1125
5/31/2016,2640
06/01/2016,2624
06/02/2016,2859
06/03/2016,2281
06/04/2016,968
06/05/2016,797
06/06/2016,2562
06/07/2016,2593
06/08/2016,2702
06/09/2016,2640
06/10/2016,2218
06/11/2016,1047
06/12/2016,922
6/13/2016,2968
6/14/2016,2437
6/15/2016,2718
6/16/2016,2499
6/17/2016,2390
6/18/2016,953
6/19/2016,953
6/20/2016,2765
6/21/2016,2796
6/22/2016,2812
6/23/2016,2390
6/24/2016,1890
6/25/2016,781
6/26/2016,781
6/27/2016,2593
6/28/2016,2484
6/29/2016,2499
6/30/2016,2359
07/01/2016,2124
07/02/2016,922
07/03/2016,765
07/04/2016,2640
07/05/2016,2390
07/06/2016,2203
07/07/2016,2327
07/08/2016,1859
07/09/2016,875
07/10/2016,1000
07/11/2016,2796
07/12/2016,2624
7/13/2016,2359
7/14/2016,1968
7/15/2016,2015
7/16/2016,844
7/17/2016,797
7/18/2016,2327
7/19/2016,2124
7/20/2016,2327
7/21/2016,2187
7/22/2016,2249
7/23/2016,922
7/24/2016,765
7/25/2016,2718
7/26/2016,2562
7/27/2016,2421
7/28/2016,2421
7/29/2016,2218
7/30/2016,812
7/31/2016,625
08/01/2016,2562
08/02/2016,2452
08/03/2016,2468
08/04/2016,2312
08/05/2016,1906
08/06/2016,890
08/07/2016,750
08/08/2016,2499
08/09/2016,2234
08/10/2016,2499
08/11/2016,2296
08/12/2016,2109
8/13/2016,703
8/14/2016,672
8/15/2016,2656
8/16/2016,2562
8/17/2016,2343
8/18/2016,2249
8/19/2016,2390
8/20/2016,953
8/21/2016,781
8/22/2016,2765
8/23/2016,2468
8/24/2016,2406
8/25/2016,2187
8/26/2016,2249
8/27/2016,875
8/28/2016,687
8/29/2016,750
8/30/2016,2484
8/31/2016,2593
09/01/2016,2468
09/02/2016,2187
09/03/2016,1000
09/04/2016,781
09/05/2016,2656
09/06/2016,2640
09/07/2016,2312
09/08/2016,2265
09/09/2016,2390
09/10/2016,890
09/11/2016,703
09/12/2016,2452
9/13/2016,2593
9/14/2016,2343
9/15/2016,1937
9/16/2016,1999
9/17/2016,984
9/18/2016,578
9/19/2016,2687
9/20/2016,2531
9/21/2016,2593
9/22/2016,2187
9/23/2016,2093
9/24/2016,890
9/25/2016,734
9/26/2016,2796
9/27/2016,2515
9/28/2016,2499
9/29/2016,2312
9/30/2016,2343
10/01/2016,968
10/02/2016,750
10/03/2016,2343
10/04/2016,2484
10/05/2016,2562
10/06/2016,2609
10/07/2016,2015
10/08/2016,968
10/09/2016,812
10/10/2016,2640
10/11/2016,2796
10/12/2016,2406
10/13/2016,2874
10/14/2016,2437
10/15/2016,1031
10/16/2016,890
10/17/2016,3155
10/18/2016,3046
10/19/2016,2546
10/20/2016,2515
10/21/2016,2640
10/22/2016,984
10/23/2016,859
10/24/2016,2702
10/25/2016,2546
10/26/2016,2203
10/27/2016,2218
10/28/2016,2109
10/29/2016,750
10/30/2016,765
10/31/2016,2437
11/01/2016,2609
11/02/2016,2515
11/03/2016,2437
11/04/2016,2390
11/05/2016,781
11/06/2016,765
11/07/2016,2515
11/08/2016,2484
11/09/2016,2468
11/10/2016,2437
11/11/2016,2093
11/12/2016,906
11/13/2016,734
11/14/2016,2702
11/15/2016,2624
11/16/2016,2577
11/17/2016,2499
11/18/2016,2124
11/19/2016,968
11/20/2016,890
11/21/2016,2484
11/22/2016,2390
11/23/2016,2702
11/24/2016,2437
11/25/2016,1999
11/26/2016,890
11/27/2016,859
11/28/2016,2718
11/29/2016,2468
11/30/2016,2609
12/01/2016,2140
12/02/2016,1999
12/03/2016,859
12/04/2016,906
12/05/2016,2484
12/06/2016,2421
12/07/2016,2312
12/08/2016,2265
12/09/2016,2046
12/10/2016,859
12/11/2016,734
12/12/2016,2281
12/13/2016,2327
12/14/2016,2093
12/15/2016,2156
12/16/2016,1953
12/17/2016,765
12/18/2016,578
12/19/2016,2187
12/20/2016,2140
12/21/2016,1874
12/22/2016,1640
12/23/2016,1187
12/24/2016,422
12/25/2016,250
12/26/2016,406
12/27/2016,656
12/28/2016,1093
12/29/2016,1203
12/30/2016,1265
12/31/2016,640
01/01/2017,625
01/02/2017,844
01/03/2017,3046
01/04/2017,2859
01/05/2017,2531
01/06/2017,2421
01/07/2017,1218
01/08/2017,1000
01/09/2017,3109
01/10/2017,3062
01/11/2017,3046
01/12/2017,2718
1/13/2017,2406
1/14/2017,1156
1/15/2017,1015
1/16/2017,2937
1/17/2017,2812
1/18/2017,2921
1/19/2017,2968
1/20/2017,2609
1/21/2017,1250
1/22/2017,1000
1/23/2017,2874
1/24/2017,3046
1/25/2017,2765
1/26/2017,2765
1/27/2017,2343
1/28/2017,1093
1/29/2017,1031
1/30/2017,3015
1/31/2017,2999
02/01/2017,2546
02/02/2017,2984
02/03/2017,2702
02/04/2017,1047
02/05/2017,1031
02/06/2017,2890
02/07/2017,2859
02/08/2017,2734
02/09/2017,2562
02/10/2017,2203
02/11/2017,1062
02/12/2017,953
2/13/2017,2968
2/14/2017,2656
2/15/2017,2734
2/16/2017,2484
2/17/2017,2468
2/18/2017,1015
2/19/2017,922
2/20/2017,3015
2/21/2017,2921
2/22/2017,3046
2/23/2017,2781
2/24/2017,2421
2/25/2017,1031
2/26/2017,968
2/27/2017,3093
2/28/2017,2968
03/01/2017,3077
03/02/2017,2577
03/03/2017,2359
03/04/2017,968
03/05/2017,1156
03/06/2017,2702
03/07/2017,2874
03/08/2017,2765
03/09/2017,2765
03/10/2017,2437
03/11/2017,1172
03/12/2017,1093
3/13/2017,2796
3/14/2017,2593
3/15/2017,2671
3/16/2017,2765
3/17/2017,2624
3/18/2017,1218
3/19/2017,1078
3/20/2017,2812
3/21/2017,2859
3/22/2017,2499
3/23/2017,2515
3/24/2017,2343
3/25/2017,719
3/26/2017,750
3/27/2017,2702
3/28/2017,2577
3/29/2017,2640
3/30/2017,2671
3/31/2017,2187
04/01/2017,1218
04/02/2017,844
04/03/2017,2562
04/04/2017,2515
04/05/2017,2562
04/06/2017,2171
04/07/2017,2093
04/08/2017,859
04/09/2017,719
04/10/2017,2749
04/11/2017,2718
04/12/2017,2390
4/13/2017,2203
4/14/2017,890
4/15/2017,687
4/16/2017,578
4/17/2017,890
4/18/2017,2952
4/19/2017,2452
4/20/2017,2827
4/21/2017,2374
