ds,y
06/05/2016,485.13
07/05/2016,175.44
08/05/2016,24.89
09/05/2016,590.88
10/05/2016,558.39
11/05/2016,556.9
12/05/2016,492.01
13/05/2016,483.79
14/05/2016,176.69
15/05/2016,21.81
16/05/2016,583.79
17/05/2016,584.26
18/05/2016,653.07
19/05/2016,761.06
20/05/2016,684.48
21/05/2016,247.27
22/05/2016,41.14
23/05/2016,880.36
24/05/2016,682.52
25/05/2016,667.58
26/05/2016,678.23
27/05/2016,615.55
28/05/2016,154.36
29/05/2016,18.89
30/05/2016,344.88
31/05/2016,782.29
01/06/2016,582.95
02/06/2016,408.4
03/06/2016,386.03
04/06/2016,105.13
05/06/2016,65.92
06/06/2016,447.8
07/06/2016,521.51
08/06/2016,498.05
09/06/2016,482.75
10/06/2016,419.73
11/06/2016,123.47
12/06/2016,86.33
13/06/2016,634.55
14/06/2016,631.16
15/06/2016,594.04
16/06/2016,512.78
17/06/2016,461.73
18/06/2016,106.39
19/06/2016,68.19
20/06/2016,652.29
21/06/2016,522.49
22/06/2016,577.08
23/06/2016,505.63
24/06/2016,411.84
25/06/2016,111.56
26/06/2016,80.06
27/06/2016,660.31
28/06/2016,593.79
29/06/2016,612.06
30/06/2016,649.63
01/07/2016,572.84
02/07/2016,122.7
03/07/2016,90.28
04/07/2016,693.16
05/07/2016,606.83
06/07/2016,565.69
07/07/2016,572.07
08/07/2016,536.42
09/07/2016,148.99
10/07/2016,109.76
11/07/2016,823.19
12/07/2016,544.97
13/07/2016,693.58
14/07/2016,629.89
15/07/2016,606.5
16/07/2016,122.82
17/07/2016,82.34
18/07/2016,788.81
19/07/2016,574.77
20/07/2016,601.76
21/07/2016,626.17
22/07/2016,621.79
23/07/2016,128
24/07/2016,98.1
25/07/2016,885.72
26/07/2016,863.47
27/07/2016,697.04
28/07/2016,812.91
29/07/2016,717.16
30/07/2016,137.94
31/07/2016,74.07
01/08/2016,839.66
02/08/2016,850.74
03/08/2016,779.73
04/08/2016,860.97
05/08/2016,742.65
06/08/2016,124.7
07/08/2016,72.2
08/08/2016,871.97
09/08/2016,852.48
10/08/2016,816.97
11/08/2016,716.15
12/08/2016,659.84
13/08/2016,131.08
14/08/2016,81.46
15/08/2016,824.58
16/08/2016,796.63
17/08/2016,778.44
18/08/2016,728.08
19/08/2016,766.54
20/08/2016,144.47
21/08/2016,82.72
22/08/2016,963.62
23/08/2016,728.69
24/08/2016,776.25
25/08/2016,816.03
26/08/2016,670.41
27/08/2016,105.98
28/08/2016,60.37
29/08/2016,287.8
30/08/2016,715.33
31/08/2016,738.43
01/09/2016,578.56
02/09/2016,655.29
03/09/2016,117.35
04/09/2016,67.96
05/09/2016,816.22
06/09/2016,725.66
07/09/2016,709.59
08/09/2016,833.43
09/09/2016,638.8
10/09/2016,110.08
11/09/2016,69.41
12/09/2016,739.77
13/09/2016,778.21
14/09/2016,663.12
15/09/2016,669.75
16/09/2016,612.03
17/09/2016,82.75
18/09/2016,59.26
19/09/2016,872.48
20/09/2016,759.02
21/09/2016,708.81
22/09/2016,768.89
23/09/2016,686.72
24/09/2016,105.46
25/09/2016,64.67
26/09/2016,859.27
27/09/2016,836.48
28/09/2016,869.42
29/09/2016,910.84
30/09/2016,621.73
01/10/2016,133.37
02/10/2016,75.34
03/10/2016,832.91
04/10/2016,864.73
05/10/2016,758.81
06/10/2016,909.18
07/10/2016,787.28
08/10/2016,94.17
09/10/2016,84.76
10/10/2016,1006.72
11/10/2016,859.59
12/10/2016,886.71
13/10/2016,900.76
14/10/2016,671.97
15/10/2016,84.34
16/10/2016,63.72
17/10/2016,782.6
18/10/2016,847.84
19/10/2016,656.27
20/10/2016,543.46
21/10/2016,480.46
22/10/2016,90.59
23/10/2016,54.43
24/10/2016,636.76
25/10/2016,541.66
26/10/2016,510.19
27/10/2016,442.82
28/10/2016,379.4
29/10/2016,61.15
30/10/2016,41.1
31/10/2016,577.88
01/11/2016,493.59
02/11/2016,460.44
03/11/2016,492.77
04/11/2016,406.7
05/11/2016,63.87
06/11/2016,37.9
07/11/2016,567.05
08/11/2016,382.96
09/11/2016,359.26
10/11/2016,476.59
11/11/2016,445.21
12/11/2016,68.36
13/11/2016,43.49
14/11/2016,528.48
15/11/2016,520.22
16/11/2016,549.27
17/11/2016,519.04
18/11/2016,442.27
19/11/2016,78.87
20/11/2016,49.06
21/11/2016,572.83
22/11/2016,603.56
23/11/2016,449.25
24/11/2016,460.91
25/11/2016,447.88
26/11/2016,100.24
27/11/2016,63.54
28/11/2016,498.74
29/11/2016,534.74
30/11/2016,548
01/12/2016,461.16
02/12/2016,407.1
03/12/2016,82.68
04/12/2016,51.63
05/12/2016,492.49
06/12/2016,591.41
07/12/2016,541.12
08/12/2016,666.34
09/12/2016,563.78
10/12/2016,112.82
11/12/2016,55.23
12/12/2016,638.81
13/12/2016,865.66
14/12/2016,844.62
15/12/2016,1001.17
16/12/2016,804.42
17/12/2016,128.59
18/12/2016,79.24
19/12/2016,924.29
20/12/2016,781.99
21/12/2016,749.5
22/12/2016,645.5
23/12/2016,400.47
24/12/2016,74.85
25/12/2016,18.06
26/12/2016,239.33
27/12/2016,276.87
28/12/2016,672.2
29/12/2016,709.95
30/12/2016,548.35
31/12/2016,60.19
01/01/2017,95.02
02/01/2017,475.78
03/01/2017,1094.8
04/01/2017,1094.23
05/01/2017,861.28
06/01/2017,992.57
07/01/2017,196.66
08/01/2017,117.21
09/01/2017,1132.51
10/01/2017,1004.35
11/01/2017,887.96
12/01/2017,811.77
13/01/2017,593.07
14/01/2017,158.13
15/01/2017,98.26
16/01/2017,901.93
17/01/2017,710.23
18/01/2017,587.65
19/01/2017,582.82
20/01/2017,578.54
21/01/2017,134.91
22/01/2017,87.17
23/01/2017,728.11
24/01/2017,686.47
25/01/2017,751.3
26/01/2017,799.97
27/01/2017,746.03
28/01/2017,118.78
29/01/2017,82.52
30/01/2017,853.67
31/01/2017,806.91
01/02/2017,759.23
02/02/2017,687.3
03/02/2017,679.8
04/02/2017,145.7
05/02/2017,93.92
06/02/2017,793.88
07/02/2017,750.56
08/02/2017,749.79
09/02/2017,688.75
10/02/2017,631.17
11/02/2017,113.11
12/02/2017,96.12
13/02/2017,775.14
14/02/2017,657
15/02/2017,583.94
16/02/2017,666.97
17/02/2017,689.7
18/02/2017,100.62
19/02/2017,64.09
20/02/2017,795.19
21/02/2017,790.42
22/02/2017,765.4
23/02/2017,619.53
24/02/2017,610.29
25/02/2017,121.28
26/02/2017,71.17
27/02/2017,844.8
28/02/2017,738.62
01/03/2017,747.37
02/03/2017,644.57
03/03/2017,603.94
04/03/2017,104.89
05/03/2017,96.88
06/03/2017,793.37
07/03/2017,716.21
08/03/2017,707.43
09/03/2017,642.53
10/03/2017,638.46
11/03/2017,126.07
12/03/2017,72.72
13/03/2017,806.66
14/03/2017,597.03
15/03/2017,681.62
16/03/2017,690.34
17/03/2017,704.77
18/03/2017,135.75
19/03/2017,80.82
20/03/2017,791.16
21/03/2017,826.67
22/03/2017,747.14
23/03/2017,702.42
24/03/2017,661.57
25/03/2017,141.35
26/03/2017,65.87
27/03/2017,740.44
28/03/2017,800.25
29/03/2017,621.96
30/03/2017,660.16
31/03/2017,334.1
01/04/2017,30.18
02/04/2017,30.97
03/04/2017,356.69
04/04/2017,595.82
05/04/2017,520.39
06/04/2017,627.99
07/04/2017,569.13
08/04/2017,110.68
09/04/2017,66.02
10/04/2017,739.45
11/04/2017,693.24
12/04/2017,667.81
13/04/2017,614.66
14/04/2017,248.12
15/04/2017,96.46
16/04/2017,72.76
17/04/2017,341.09
18/04/2017,828.46
19/04/2017,776.5
20/04/2017,733.05
21/04/2017,651.11
22/04/2017,154.19
23/04/2017,109.34
24/04/2017,848.4
25/04/2017,719.15
26/04/2017,776.85
27/04/2017,862.76
28/04/2017,803.15
29/04/2017,163.35
30/04/2017,138.44
01/05/2017,414.72
02/05/2017,1158.78
03/05/2017,1007.62
04/05/2017,876.99
05/05/2017,814.65
06/05/2017,203.71
07/05/2017,153.42
08/05/2017,936.54
09/05/2017,774.54
10/05/2017,798.61
11/05/2017,638.9
12/05/2017,572.45
13/05/2017,92.41
14/05/2017,75.63
15/05/2017,773.99
16/05/2017,710.68
17/05/2017,732.03
18/05/2017,540.13
19/05/2017,592.17
20/05/2017,109.56
21/05/2017,63.78
22/05/2017,680.79
23/05/2017,580.73
24/05/2017,552.48
25/05/2017,548.84
26/05/2017,517.15
27/05/2017,74.65
28/05/2017,53.6
29/05/2017,372.29
30/05/2017,679.86
31/05/2017,598.81
01/06/2017,563.78
02/06/2017,395.88
03/06/2017,91.5
04/06/2017,48.84
05/06/2017,740.69
06/06/2017,680.2
07/06/2017,636.87
08/06/2017,721.01
09/06/2017,597.21
10/06/2017,109.98
11/06/2017,108.45
12/06/2017,831.35
13/06/2017,691.8
14/06/2017,640.17
15/06/2017,647.63
16/06/2017,681.9
17/06/2017,305.86
18/06/2017,149.42
19/06/2017,653.72
20/06/2017,655.77
21/06/2017,718.55
22/06/2017,734.2
23/06/2017,689.99
24/06/2017,226.33
25/06/2017,273.85
26/06/2017,840.97
27/06/2017,863.74
28/06/2017,752.52
29/06/2017,713.38
30/06/2017,660.64
01/07/2017,336.56
02/07/2017,202.64
03/07/2017,786.78
04/07/2017,812.69
05/07/2017,757.54
06/07/2017,700.38
07/07/2017,614.86
08/07/2017,267.66
09/07/2017,249.05
10/07/2017,858.27
11/07/2017,803.94
12/07/2017,777.94
13/07/2017,739.6
14/07/2017,679.21
15/07/2017,249.36
16/07/2017,246.63
17/07/2017,802.28
18/07/2017,757.68
19/07/2017,741.16
20/07/2017,654.12
21/07/2017,638.09
22/07/2017,230.97
23/07/2017,208.04
24/07/2017,654.43
25/07/2017,632.45
26/07/2017,742.42
27/07/2017,640.23
28/07/2017,644.73
29/07/2017,246.04
30/07/2017,230.48
31/07/2017,421.44
01/08/2017,496.78
02/08/2017,580.09
03/08/2017,550.56
04/08/2017,465.2
05/08/2017,251.94
06/08/2017,210.53
07/08/2017,577.73
08/08/2017,641.56
09/08/2017,647.83
10/08/2017,615.31
11/08/2017,569.19
12/08/2017,312.43
13/08/2017,191.89
14/08/2017,679.9
15/08/2017,676.53
16/08/2017,690.56
17/08/2017,608.94
18/08/2017,615.34
19/08/2017,220.73
20/08/2017,255.77
21/08/2017,654.94
22/08/2017,654.4
23/08/2017,646.24
24/08/2017,601.38
25/08/2017,596.3
26/08/2017,245.88
27/08/2017,151.6
28/08/2017,346.74
29/08/2017,809.5
30/08/2017,725.08
31/08/2017,725.3
01/09/2017,615.92
02/09/2017,331.59
03/09/2017,277.44
04/09/2017,762.59
05/09/2017,737.22
06/09/2017,743.67
07/09/2017,635.31
08/09/2017,666.82
09/09/2017,353.76
10/09/2017,378.13
11/09/2017,850.61
12/09/2017,724.25
13/09/2017,686.69
14/09/2017,719.13
15/09/2017,646.16
16/09/2017,336.78
17/09/2017,316.12
18/09/2017,728.64
19/09/2017,685.47
20/09/2017,644.56
21/09/2017,569.93
22/09/2017,515.75
23/09/2017,265.77
24/09/2017,277.66
25/09/2017,826.5
26/09/2017,714.59
27/09/2017,641.27
28/09/2017,649.17
29/09/2017,584.25
30/09/2017,287.65
01/10/2017,320.91
02/10/2017,687.34
03/10/2017,672.65
04/10/2017,368.51
05/10/2017,762.87
06/10/2017,632.85
07/10/2017,297.57
08/10/2017,326.68
09/10/2017,879.07
10/10/2017,769.18
11/10/2017,682.76
12/10/2017,747.8
13/10/2017,569.21
14/10/2017,220.68
15/10/2017,267.31
16/10/2017,713.05
17/10/2017,724.11
18/10/2017,777.91
19/10/2017,732.54
